Date_reported,New_cases,New_deaths
2020-01-03,-inf,-inf
2020-01-10,-inf,-inf
2020-01-17,0.0,-inf
2020-01-24,0.6931471805599453,-inf
2020-01-31,2.0794415416798357,-inf
2020-02-07,0.0,-inf
2020-02-14,2.1972245773362196,-inf
2020-02-21,3.1354942159291497,-inf
2020-02-28,4.875197323201151,2.3978952727983707
2020-03-06,7.330405211844402,3.332204510175204
2020-03-13,9.318835968129482,4.700480365792417
2020-03-20,11.011934653834277,6.7226297948554485
2020-03-27,11.840933408893575,8.285261134068948
2020-04-03,12.241792043920862,9.306559229716726
2020-04-10,12.259305308126901,9.622913491543725
2020-04-17,12.169859804191537,9.684149252062896
2020-04-24,12.236102210731854,9.500469448071016
2020-05-01,12.155273965642806,9.495820020872763
2020-05-08,12.07028728605837,9.323490469908839
2020-05-15,12.039220813139911,9.136478523377727
2020-05-22,11.950844855743112,8.922924930641832
2020-05-29,11.925717002464793,8.819813136232225
2020-06-05,11.879961546458611,8.638525476583762
2020-06-12,12.019224860803707,8.491259809389733
2020-06-19,12.27750454018043,8.351138607086154
2020-06-26,12.60148068375543,8.711772645605693
2020-07-03,12.825508698260194,8.484669999710677
2020-07-10,13.002144126584197,8.759354748566208
2020-07-17,13.054964235255834,8.892473968347087
2020-07-24,13.018355280149658,8.981681639973862
2020-07-31,12.90814240126053,8.98205864280585
2020-08-07,12.826202797102981,8.936298185228436
2020-08-14,12.731194588192087,8.850660919017152
2020-08-21,12.59507633827167,8.792397742356906
2020-08-28,12.595740294935627,8.701512750872865
2020-09-04,12.500084641676825,8.551208070003515
2020-09-11,12.475454536448671,8.536995818712418
2020-09-18,12.624595462808037,8.511778558714738
2020-09-25,12.585570161940757,8.471149252914831
2020-10-02,12.644227571460995,8.438582790834326
2020-10-09,12.81070277068089,8.45765547870004
2020-10-16,12.931575683796126,8.56522116042682
2020-10-23,13.14719646793209,8.681520484837913
2020-10-30,13.448617875993689,8.7787879291047
2020-11-06,13.69019787049571,9.032409163483521
2020-11-13,13.925087571686868,9.13270310224903
2020-11-20,14.008434872998382,9.39623885726048
2020-11-27,13.940421021938812,9.419141561574516
2020-12-04,14.18349945705326,9.716434821366272
2020-12-11,14.201325867097417,9.82135516299751
2020-12-18,14.216679115771976,9.879553402240496
2020-12-25,14.059813462864012,9.7749721303007
2021-01-01,14.249286440660414,9.927545817629198
2021-01-08,14.358859323835823,10.072554993651666
2021-01-15,14.143346321671423,10.01377590643025
2021-01-22,13.959423871461908,10.02189261691475
2021-01-29,13.79442787174213,9.970491781316602
2021-02-05,13.503935986079536,9.825147561084876
2021-02-12,13.2395115449079,9.842143922295076
2021-02-19,13.02535455572442,9.505097358099926
2021-02-26,13.000785400056952,9.403766708502243
2021-03-05,12.881010029565207,9.125326997649227
2021-03-12,12.850066345929424,8.92665032079394
2021-03-19,12.887724001576634,8.703672758358856
2021-03-26,13.003931131056282,8.682368589375221
2021-04-02,13.003142808992667,8.508757712595136
2021-04-09,13.081862164761398,8.523374050491318
2021-04-16,12.977550299496073,8.461046030793236
2021-04-23,12.794361961859673,8.407824654360873
2021-04-30,12.69370435809162,8.446770727119691
2021-05-07,12.444077222750732,8.341886969516187
2021-05-14,12.253175672998816,8.243282523048375
2021-05-21,11.988171578350748,8.172164452111904
2021-05-28,11.666161440869086,7.968665700466235
2021-06-04,11.54292106500561,8.006700845440367
2021-06-11,11.426844564044359,7.621684998724611
2021-06-18,11.313168796102914,7.56734567601324
2021-06-25,11.455444646222226,7.5678626054638825
2021-07-02,11.511684695534095,7.323170717943469
2021-07-09,12.723728887416963,7.457609289715606
2021-07-16,12.535084983310716,7.580699752224563
2021-07-23,13.032545885135145,7.849323818040561
2021-07-30,13.38170307246977,8.197263371414335
2021-08-06,13.634500540726188,8.55371796609861
2021-08-13,13.765592107519206,8.763271714012943
2021-08-20,13.874161468587701,9.145588494746486
2021-08-27,13.934635803564861,9.30027247947679
2021-09-03,13.873301049778624,9.344871264933788
2021-09-10,13.885918694158173,9.49694686620103
2021-09-17,13.75314993016104,9.504203303503045
2021-09-24,13.589575614337042,9.50651131182387
2021-10-01,13.46582541407076,9.395657437749936
2021-10-08,13.361030610449086,9.310818990542401
2021-10-15,13.215367263392782,9.323133199451306
2021-10-22,13.11536897349137,9.147400572202308
2021-10-29,13.177423368873047,9.015055148790369
2021-11-05,13.167956054102442,8.921057018157429
2021-11-12,13.343249983733196,8.900003608959596
2021-11-19,13.418925406082492,9.235910648087712
2021-11-26,13.277390815623738,8.713746330456916
2021-12-03,13.665967081988889,9.05998249038762
2021-12-10,13.636271445553579,9.061608318175784
2021-12-17,13.93556390340487,9.17585244151751
2021-12-24,14.479139840446088,9.307648554443182
2021-12-31,15.16297468968218,9.186047679407139
2022-01-07,15.491063685400649,9.480214825777999
2022-01-14,15.490861858473107,9.541584681053092
2022-01-21,15.314770368786245,9.821083726281312
2022-01-28,14.876146106090905,9.863602618837213
2022-02-04,14.307916985052508,9.81328928461798
2022-02-11,13.72469595788161,9.70838466137744
2022-02-18,13.207384441701718,9.46923709299621
2022-02-25,12.914327626383129,9.431321587125709
2022-03-04,12.4672746964275,9.031213706078747
2022-03-11,12.343510149359568,8.37378460812088
2022-03-18,12.128862173288693,8.624252263709645
2022-03-25,12.145669561672394,8.427706024914702
2022-04-01,12.196910803737788,8.177515823846075
2022-04-08,12.271293746157353,8.182000136293405
2022-04-15,12.535408766249464,7.900266036767701
2022-04-22,12.719237531088586,7.701200180857446
2022-04-29,12.919576221597003,7.80994708647679
2022-05-06,13.154294121647544,7.680637427560936
2022-05-13,13.215866470865755,7.333023014386481
