Date_reported,New_cases,New_deaths
2020-01-03,1.3862943611198906,-inf
2020-01-10,3.713572066704308,0.0
2020-01-17,6.270988431858299,2.833213344056216
2020-01-24,8.876544550558378,5.030437921392435
2020-01-31,9.919557732713622,6.135564891081739
2020-02-07,10.367913153467802,6.601230118728877
2020-02-14,9.601909374892236,6.76849321164863
2020-02-21,8.282735880201754,6.230481447578482
2020-02-28,7.5678626054638825,5.594711379601839
2020-03-06,6.028278520230698,5.056245805348308
2020-03-13,5.54907608489522,4.343805421853684
2020-03-20,6.584791392385716,3.7612001156935624
2020-03-27,6.637258031284457,3.5263605246161616
2020-04-03,6.263398262591624,2.833213344056216
2020-04-10,6.306275286948016,2.0794415416798357
2020-04-17,6.22455842927536,7.162397497355718
2020-04-24,4.2626798770413155,0.0
2020-05-01,3.58351893845611,-inf
2020-05-08,4.007333185232471,0.0
2020-05-15,3.7612001156935624,0.0
2020-05-22,3.6888794541139363,-inf
2020-05-29,4.02535169073515,-inf
2020-06-05,3.8918202981106265,-inf
2020-06-12,5.5254529391317835,-inf
2020-06-19,5.375278407684165,0.6931471805599453
2020-06-26,4.969813299576001,0.0
2020-07-03,4.912654885736052,-inf
2020-07-10,5.697093486505405,1.0986122886681098
2020-07-17,6.498282149476434,1.3862943611198906
2020-07-24,7.1846291527173145,2.302585092994046
2020-07-31,7.024649030453636,2.9444389791664403
2020-08-07,6.582025138892826,2.995732273553991
2020-08-14,6.18826412308259,2.1972245773362196
2020-08-21,5.552959584921617,1.9459101490553132
2020-08-28,5.14166355650266,2.6390573296152584
2020-09-04,5.030437921392435,1.791759469228055
2020-09-11,5.062595033026967,1.0986122886681098
2020-09-18,5.10594547390058,0.6931471805599453
2020-09-25,4.962844630259907,0.0
2020-10-02,5.017279836814924,-inf
2020-10-09,5.225746673713202,-inf
2020-10-16,5.241747015059643,-inf
2020-10-23,5.455321115357702,-inf
2020-10-30,5.545177444479562,0.0
2020-11-06,5.556828061699537,0.6931471805599453
2020-11-13,5.176149732573829,-inf
2020-11-20,6.238324625039508,-inf
2020-11-27,6.648984550024776,0.6931471805599453
2020-12-04,6.710523109452428,1.3862943611198906
2020-12-11,6.6293632534374485,2.1972245773362196
2020-12-18,6.54965074223381,2.302585092994046
2020-12-25,6.395261598115449,2.6390573296152584
2021-01-01,6.298949246855942,1.9459101490553132
2021-01-08,6.802394763324311,2.0794415416798357
2021-01-15,7.167809184316444,1.6094379124341003
2021-01-22,7.033506484287697,2.302585092994046
2021-01-29,6.38856140554563,2.3978952727983707
2021-02-05,5.655991810819852,1.6094379124341003
2021-02-12,5.1647859739235145,2.0794415416798357
2021-02-19,5.159055299214529,0.0
2021-02-26,5.37989735354046,0.6931471805599453
2021-03-05,5.176149732573829,1.3862943611198906
2021-03-12,5.627621113690637,-inf
2021-03-19,5.087596335232384,0.0
2021-03-26,5.0106352940962555,0.0
2021-04-02,5.484796933490655,-inf
2021-04-09,5.204006687076795,1.6094379124341003
2021-04-16,5.2832037287379885,-inf
2021-04-23,5.19295685089021,0.0
2021-04-30,5.1298987149230735,0.0
2021-05-07,5.135798437050262,-inf
2021-05-14,7.261927092702751,0.6931471805599453
2021-05-21,8.211754397375197,3.4657359027997265
2021-05-28,8.145259566516865,4.634728988229636
2021-06-04,7.9229859587111955,5.214935757608986
2021-06-11,7.400009517162692,4.976733742420574
2021-06-18,6.933423025730715,4.795790545596741
2021-06-25,6.541029999189903,3.912023005428146
2021-07-02,6.257667587882639,4.219507705176107
2021-07-09,5.968707559985366,3.6375861597263857
2021-07-16,6.07073772800249,3.2188758248682006
2021-07-23,6.311734809152915,2.1972245773362196
2021-07-30,6.559615237493242,1.3862943611198906
2021-08-06,6.78332520060396,3.2188758248682006
2021-08-13,6.182084906716632,1.6094379124341003
2021-08-20,5.58724865840025,2.1972245773362196
2021-08-27,5.683579767338681,1.791759469228055
2021-09-03,5.552959584921617,0.0
2021-09-10,6.102558594613569,1.0986122886681098
2021-09-17,6.163314804034641,0.6931471805599453
2021-09-24,5.846438775057725,0.0
2021-10-01,5.673323267171493,0.6931471805599453
2021-10-08,5.407171771460119,0.6931471805599453
2021-10-15,5.337538079701318,-inf
2021-10-22,5.958424693029782,0.0
2021-10-29,6.470799503782602,-inf
2021-11-05,6.261491684321042,0.0
2021-11-12,6.144185634125646,-inf
2021-11-19,5.429345628954441,-inf
2021-11-26,6.040254711277414,-inf
2021-12-03,6.504288173536645,-inf
2021-12-10,6.464588303689961,0.0
2021-12-17,6.655440350367647,0.0
2021-12-24,7.271703706887368,-inf
2021-12-31,7.381501894506707,-inf
2022-01-07,7.5310163320779155,-inf
2022-01-14,7.350516171833998,0.0
2022-01-21,7.273786317844895,-inf
2022-01-28,7.406103381237015,-inf
2022-02-04,8.337827262447915,0.6931471805599453
2022-02-11,9.56156046523195,2.5649493574615367
2022-02-18,10.732301344517607,5.062595033026967
2022-02-25,12.303630297874978,6.664409020350408
2022-03-04,12.469747589143903,7.438971592395862
2022-03-11,11.717766543194053,7.589841512182657
2022-03-18,10.989942910933607,7.452402451223638
2022-03-25,10.5477333127379,7.036148493750536
2022-04-01,10.217093186966197,6.625392368007956
2022-04-08,10.006991345550789,6.192362489474872
2022-04-15,10.493327663230145,5.579729825986222
2022-04-22,10.880384082520141,5.8805329864007
2022-04-29,11.823559611763876,5.659482215759621
2022-05-06,12.632721779305468,5.0689042022202315
2022-05-13,12.881045672111208,5.318119993844216
