Date,AAPL,ADBE,AMD,AMZN,AVGO,CRM,CSCO,FB,FNGU,GOOG,INTC,MSFT,NDX,NFLX,NVDA,ORCL,SHOP,SPY,TSLA,ZM
2020-01-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-01-03,99.02780059737778,99.21657890303891,98.9816700294532,98.7860965344079,97.4564842853424,99.50894826202499,98.36844274654307,99.4708739551861,97.10166949312669,99.50927309256488,98.78370359390065,98.7548177072065,99.11725207049348,98.81446781751522,98.39939101206991,99.64780686620949,99.13685934438577,99.24278273169892,102.9633191145888,97.90453664751621
2020-01-06,99.81688024950608,99.78470793993614,98.5539733064414,100.25658427767698,97.31070420984716,103.8684898751875,98.71955673337631,101.34426892012026,101.02744844659746,101.96289647051577,98.5042950065122,99.0100928638376,99.73287186247717,101.82529003312047,98.8120359570274,100.16679757964555,101.35357636419795,99.62139625030284,104.94584275496568,102.32828644601226
2020-01-07,99.34743813814674,99.68902967732562,98.26884215776687,100.46628299615446,96.97573077306689,105.39552919962314,98.07931808171936,101.56354218628235,103.1743637247498,101.89926657111394,96.86063710005327,98.10731941443751,99.70954809456704,100.28501332535842,100.0083242128452,100.38924858119269,101.64047610896185,99.34129238728634,109.0177966005521,104.62747416863805
2020-01-08,100.94556380255038,101.02861660638828,97.41344871174329,99.6817779338486,95.76598376616255,106.19198514746675,98.14126485786619,102.59319404760294,107.19214643851411,102.702273223351,96.92638502318552,99.67001798973708,100.4525405350906,102.86528979624165,100.19590285433114,100.78022015564916,102.52324167620317,99.87072805708168,114.38200061565698,105.57334365980896
2020-01-09,103.08973994824049,101.8000836238053,99.73523980151143,100.16016820917906,94.99674296893073,107.55135049736123,97.72821260405867,104.06139971495784,109.73777392726629,103.83656378010258,97.4687919984108,100.91521000618717,101.32334590292535,101.77375038562204,101.29632552022503,101.24567976077459,105.49030755734954,100.54790867244465,111.87188625098945,105.67520584487993
2020-01-10,103.32278076905538,101.60870884808118,98.10590563324365,99.21760125053883,92.81305262443452,107.91064795528669,97.33581211202427,103.94699152801886,109.59975366216209,104.5605854397114,96.87707408083634,100.44827029276082,101.06421983207107,99.76956133190293,101.8381903148517,101.37599129422527,105.23773737677604,100.25857319255687,111.13047353100556,106.35913131484484
2020-01-13,105.53021646491614,103.3489855731598,99.28717212831368,99.6464770952949,93.42100416709604,110.09641299223847,99.07062817434682,105.78225043064,117.09860855098246,105.25534761208213,97.94544435519599,101.65608457325351,102.23653910946796,102.76220124816626,105.0310458056237,101.61803857108988,107.9546932068808,100.9480821682284,121.98670308594515,107.72700445906574
2020-01-14,104.1052118610726,103.0499693300295,98.18737389550526,98.49474201606941,95.59228923760227,109.06041626823158,98.6988879532581,104.42368139636615,114.70633528738341,104.64468135726526,97.68247274859058,100.9401025670745,101.81690941253274,102.69246079516886,103.07198536877667,102.17657678656285,108.19254938078633,100.79419258031994,125.02207640955658,106.46100460206137
2020-01-15,103.65906555986926,102.5446311491192,98.87983858624673,98.10380392060391,94.02897640245813,108.42564920210489,99.15324373061185,105.41996147552157,113.43352154300734,105.25314924481061,96.87707408083634,101.59382400006534,101.84226946976015,102.80768012921739,102.3592031157688,101.95314966866027,109.98014684821862,101.02196440991895,120.50852344461498,111.9615848001858
2020-01-16,104.95756140327839,103.27423151237723,101.3645662005381,98.94258271578974,95.24178592904639,109.4017584476844,101.30110353756936,105.71551414001978,115.12038145803218,106.16731293456812,98.06049652536956,103.45534998989226,102.8491209779296,102.67123423298547,103.75973119617727,103.20058939680298,110.66428735659923,101.8622759989684,119.34411253188225,110.75378238995441
2020-01-17,106.11952911650562,104.5779379523045,103.72709142143705,98.24606043124102,95.78151363793816,109.12628883948318,101.23917377976764,105.89188706372106,116.3701906061689,108.26550384569202,97.9618880312869,104.03437429290786,103.39836874513837,102.98960490650042,103.90562498636551,102.64204378650916,111.54214201888144,102.17933563619029,118.64918439635825,109.953428720007
2020-01-21,105.40037825447274,104.65568509559888,103.97148843898077,99.68335364880112,95.5581773207174,110.94676218813898,100.7848009840688,105.55820561061996,117.68133559450136,108.55876827155662,99.5233476432148,103.66082057743546,103.31833707148354,102.51659678433313,103.34708625121978,102.80960303270479,114.13158269393351,101.97925865720516,127.17891502515116,111.65599824497284
2020-01-22,105.77659576558067,104.67362534016655,104.74542139198387,99.44415851113588,97.07807687007177,109.43768727972231,101.3424240794607,105.50100515400554,118.01104132871505,108.67212367634855,103.10651571961202,103.16275543924334,103.5657407200517,98.84479015590883,104.25158692666108,101.87869121727478,113.96484577794067,101.99156747970022,132.37577276299476,109.92432999662051
2020-01-23,106.28600161695462,105.18195660358867,105.3156836893329,99.29241555333562,99.15007836325704,110.17425574913852,101.19784472870374,104.75736284946721,119.93559590532811,108.72331104017812,104.07628419519688,103.79776855694227,103.88584540073238,106.00042712210566,105.39785973962883,102.36276358654138,115.06584260746043,102.10854036903024,132.98935509222088,108.36728739502365
2020-01-24,105.97970255603532,105.0653358886471,102.54582492636702,98.08378590921727,100.49940798183678,109.05443117540736,100.88806830210694,103.88979107140442,115.5037597085831,107.26504587110917,112.54109496269811,102.75182398781352,103.03475351488302,107.07983574675212,104.40581768710886,100.668499201877,114.14139514974705,101.20049118063099,131.27410672995356,106.22817040638736
