Date,3690.HK,600588.SS,BABA,BIDU,BILI,FXI,JD,KWEB,NTES,PDD,TCEHY,TCOM,New_cases,restriction_gatherings,Year_Month,CPI,Unemployment
2021-08-12,228.59903971354166,174.10941448255238,87.20935520595337,115.48980138404347,381.57517675522047,94.56336200828939,186.93346908131394,95.49722074233834,141.93156950986886,212.0300731009992,123.01070073816763,64.89044895590594,98.0,4,2021Aug,0.8,5.1
2021-08-13,225.50724047969504,164.76504719193878,85.82608702293373,110.29517841257814,353.69926384539315,94.60911180679881,185.15769559717762,93.48021772988484,138.3215797804727,204.65679890919824,121.3982394695063,67.3789532726944,110.0,4,2021Aug,0.8,5.1
2021-08-16,213.9130375811443,166.8947107487063,83.13691730530776,106.04109827070738,331.5512962049499,93.03039360960148,176.7028851317712,89.75652291404049,131.65694943759564,199.4179047624687,115.93603242613284,67.21666097093278,61.0,4,2021Aug,0.8,5.1
2021-08-17,206.37681749131946,158.98458897886775,79.050822382547,103.00969731252346,323.5322019615373,90.42206117158487,170.3154119255679,86.96375378680257,129.21945079322478,192.69948539983125,111.15911388985434,65.07979083449106,55.0,4,2021Aug,0.8,5.1
2021-08-18,210.82125309008907,161.89655615038873,78.42289791733536,103.42931952778342,326.7780266890413,91.1542263736552,173.6814249060021,88.65105163578836,129.21945079322478,196.36187238259998,115.291046373625,68.10927636939063,49.0,4,2021Aug,0.8,5.1
2021-08-19,195.74879816764795,157.11571552074503,73.0536469629928,99.35609941991873,307.0644366985153,89.32381780074043,164.82905197511963,85.2570619834117,121.75260977974096,181.15450708383648,108.3171457858828,71.76088669369251,60.0,4,2021Aug,0.8,5.1
2021-08-20,186.85989748452596,156.68108758339733,71.87514385176765,99.58760865346211,317.6133579586145,88.47725594109134,168.61913227643538,85.50918339067768,124.39068194759632,187.4605912531017,112.99328887265222,71.11171232746672,44.0,4,2021Aug,0.8,5.1
2021-08-23,188.79226463428444,161.28807370404292,73.28570524980235,103.28461383738781,334.70167156568465,90.19325899190528,174.21151164850562,88.18559673006656,131.16328591630636,196.6529292536026,115.17010810899755,74.11414312636357,36.0,4,2021Aug,0.8,5.1
2021-08-24,214.29951985677084,161.98347506974017,78.12713000422764,112.19794563843935,374.2720802226254,93.35071311534409,199.36390420148084,97.8439209796781,142.93435370396014,240.4074796194037,126.09454537139403,77.79280302748893,46.0,4,2021Aug,0.8,5.1
2021-08-25,219.32367149758454,156.46377361472346,76.94407918101193,112.23412206103825,380.04773196681595,92.57278925024227,201.80228870514813,96.11783522188216,141.8544267637301,237.30292850879752,122.7285217543256,78.49607654736168,33.0,4,2021Aug,0.8,5.1
